dist	strand	type
46	-	model1
159	-	model1
-158	-	model1
-158	-	model1
-243	+	model1
-46	-	model1
-46	-	model1
-146	+	model1
-24	-	model1
75	-	model1
21	+	model1
-108	+	model1
-82	+	model1
2	-	model1
33	-	model1
25	-	model1
-29	-	model1
-1	-	model1
-1	-	model1
91	-	model1
-2	+	model1
-98	+	model1
-44	+	model1
-6	+	model1
3	+	model1
-93	+	model1
-25	-	model1
1	-	model1
39	-	model1
63	-	model1
73	-	model1
-34	-	model1
-5	-	model1
57	-	model1
-156	+	model1
-46	+	model1
-170	+	model1
1	+	model1
88	-	model1
-15	-	model1
-24	-	model1
21	+	model1
-40	+	model1
1	+	model1
-63	+	model1
-16	+	model1
-48	+	model1
53	+	model1
-92	+	model1
88	-	model1
-15	-	model1
-4	-	model1
-158	-	model1
-158	-	model1
-33	-	model1
-26	-	model1
-35	-	model1
-35	-	model1
-35	-	model1
-35	-	model1
40	-	model1
62	-	model1
-6	-	model1
-46	-	model1
-46	-	model1
-146	+	model1
21	+	model1
-108	+	model1
15	+	model1
-30	+	model1
167	-	model1
-36	-	model1
-36	-	model1
-36	-	model1
-5	-	model1
0	-	model1
0	-	model1
20	-	model1
-26	-	model1
2	+	model1
3	+	model1
-25	-	model1
1	-	model1
87	-	model1
-66	-	model1
5	-	model1
63	-	model1
4	-	model1
4	-	model1
-78	-	model1
59	-	model1
-5	-	model1
-27	-	model1
-156	+	model1
-170	+	model1
-60	+	model1
-43	+	model1
42	+	model1
3	+	model1
-13	-	model1
63	-	model1
-33	+	model1
-82	+	model1
-53	+	model1
-31	+	model1
25	-	model1
41	-	model1
66	-	model1
2	-	model1
33	-	model1
65	-	model1
-28	-	model1
144	-	model1
-29	-	model1
-38	-	model1
-24	-	model1
-1	-	model1
1	-	model1
-1	-	model1
-8	-	model1
-2	+	model1
-88	-	model1
-116	+	model1
-152	+	model1
-233	+	model1
-98	+	model1
-44	+	model1
-134	+	model1
1	+	model1
22	+	model1
72	+	model1
-6	+	model1
3	+	model1
-93	+	model1
-25	-	model1
1	-	model1
28	-	model1
63	-	model1
161	-	model1
153	-	model1
17	-	model1
-5	-	model1
57	-	model1
-10	-	model1
-156	+	model1
-46	+	model1
-170	+	model1
-170	+	model1
6	+	model1
5	+	model1
-46	+	model1
-42	+	model1
-10	-	model1
88	-	model1
87	-	model1
-33	+	model1
-197	+	model1
-140	+	model1
-31	+	model1
75	-	model1
-10	-	model1
146	-	model1
47	-	model1
66	-	model1
2	-	model1
33	-	model1
-28	-	model1
144	-	model1
-29	-	model1
-38	-	model1
108	-	model1
-24	-	model1
-86	-	model1
-1	-	model1
1	-	model1
-1	-	model1
-8	-	model1
-2	+	model1
-88	-	model1
-116	+	model1
-152	+	model1
-234	+	model1
-233	+	model1
-98	+	model1
-44	+	model1
-166	+	model1
-82	+	model1
-29	-	model1
163	-	model1
2	-	model1
33	-	model1
25	-	model1
-29	-	model1
-16	-	model1
-1	-	model1
-1	-	model1
-2	+	model1
-88	-	model1
-234	+	model1
-98	+	model1
-44	+	model1
-80	+	model1
3	+	model1
15	+	model1
24	+	model1
-49	+	model1
-84	+	model1
12	+	model1
-12	+	model1
-30	+	model1
-192	+	model1
54	-	model1
167	-	model1
-36	-	model1
-36	-	model1
-36	-	model1
14	-	model1
-5	-	model1
-5	-	model1
32	-	model1
32	-	model1
4	-	model1
72	-	model1
50	-	model1
0	-	model1
0	-	model1
4	-	model1
96	-	model1
20	-	model1
99	-	model1
-123	+	model1
-85	+	model1
86	+	model1
86	+	model1
-1	+	model1
-39	+	model1
-3	+	model1
3	+	model1
3	+	model1
2	+	model1
-56	+	model1
-56	+	model1
-42	+	model1
-42	+	model1
-6	-	model1
0	-	model1
69	-	model1
158	-	model1
1	+	model1
19	+	model1
-6	+	model1
5	+	model1
5	+	model1
-89	+	model1
-125	+	model1
-56	+	model1
-56	+	model1
-40	+	model1
-42	+	model1
-42	+	model1
-189	+	model1
-19	-	model1
-12	-	model1
6	-	model1
89	-	model1
25	-	model1
-19	-	model1
-155	-	model1
-17	-	model1
-5	-	model1
53	-	model1
53	-	model1
88	-	model1
69	-	model1
185	-	model1
70	-	model1
158	-	model1
158	-	model1
158	-	model1
86	-	model1
-24	-	model1
83	-	model1
-49	-	model1
-3	+	model1
-28	+	model1
-35	+	model1
3	+	model1
15	+	model1
12	+	model1
-192	+	model1
54	-	model1
-195	+	model1
167	-	model1
75	-	model1
-36	-	model1
-36	-	model1
-36	-	model1
32	-	model1
4	-	model1
72	-	model1
80	-	model1
50	-	model1
0	-	model1
0	-	model1
4	-	model1
24	-	model1
20	-	model1
-85	+	model1
2	+	model1
-61	+	model1
-3	+	model1
-77	+	model1
15	+	model1
-22	+	model1
-84	+	model1
-30	+	model1
-192	+	model1
167	-	model1
-36	-	model1
-36	-	model1
-5	-	model1
32	-	model1
0	-	model1
0	-	model1
4	-	model1
20	-	model1
-184	+	model1
-3	+	model1
-26	-	model1
-13	+	model1
62	+	model1
43	+	model1
2	-	model1
99	-	model1
99	-	model1
67	-	model1
47	-	model1
-209	+	model1
-1	+	model1
4	+	model1
-33	+	model1
2	+	model1
1	+	model1
-6	+	model1
-125	+	model1
-56	+	model1
-56	+	model1
-42	+	model1
-42	+	model1
-189	+	model1
-19	-	model1
-12	-	model1
6	-	model1
25	-	model1
-155	-	model1
53	-	model1
69	-	model1
158	-	model1
158	-	model1
158	-	model1
86	-	model1
-49	-	model1
-49	-	model1
-69	+	model1
-28	+	model1
-72	+	model1
-72	+	model1
15	+	model1
-49	+	model1
-84	+	model1
12	+	model1
12	+	model1
-30	+	model1
-108	+	model1
-13	+	model1
-192	+	model1
54	-	model1
-195	+	model1
-190	+	model1
167	-	model1
-36	-	model1
-36	-	model1
-36	-	model1
-36	-	model1
1	-	model1
-91	-	model1
156	-	model1
-5	-	model1
-5	-	model1
-5	-	model1
-5	-	model1
32	-	model1
32	-	model1
4	-	model1
81	-	model1
72	-	model1
-52	-	model1
50	-	model1
50	-	model1
0	-	model1
0	-	model1
4	-	model1
-11	-	model1
96	-	model1
20	-	model1
-123	+	model1
-39	+	model1
-85	+	model1
-13	+	model1
17	+	model1
-39	+	model1
-3	+	model1
3	+	model1
3	+	model1
2	+	model1
-2	+	model1
6	-	model1
231	-	model1
-86	-	model1
-86	-	model1
-27	+	model1
-126	+	model1
83	+	model1
2	+	model1
-88	+	model1
171	-	model1
127	-	model1
88	-	model1
87	-	model1
-6	-	model1
-82	+	model1
93	+	model1
-56	+	model1
-56	+	model1
-42	+	model1
-42	+	model1
-19	-	model1
25	-	model1
53	-	model1
69	-	model1
54	+	model1
54	+	model1
171	-	model1
127	-	model1
88	-	model1
87	-	model1
2	+	model1
2	+	model1
-51	+	model1
5	+	model1
-11	+	model1
-84	+	model1
-84	+	model1
54	+	model1
54	+	model1
171	-	model1
127	-	model1
-10	-	model1
88	-	model1
87	-	model1
-208	+	model1
-208	+	model1
-82	+	model1
-98	+	model1
-98	+	model1
37	+	model1
-46	+	model1
-22	+	model1
42	+	model1
-3	+	model1
69	+	model1
-125	+	model1
-56	+	model1
-56	+	model1
-42	+	model1
-42	+	model1
-19	-	model1
-12	-	model1
0	-	model1
6	-	model1
89	-	model1
-20	-	model1
-155	-	model1
-5	-	model1
53	-	model1
53	-	model1
69	-	model1
158	-	model1
158	-	model1
-28	-	model1
-160	+	model1
-44	+	model1
-68	+	model1
-68	+	model1
-94	+	model1
-136	+	model1
-41	+	model1
-28	+	model1
-12	-	model1
-12	-	model1
32	-	model1
32	-	model1
-86	+	model1
-11	-	model1
-5	-	model1
-49	-	model1
-9	-	model1
-99	-	model1
9	-	model1
-26	-	model1
-255	-	model1
-6	-	model1
52	-	model1
-2	-	model1
-13	+	model1
43	+	model1
-36	+	model1
-4	+	model1
-46	+	model1
-62	+	model1
195	-	model1
46	-	model1
11	-	model1
2	-	model1
27	-	model1
28	-	model1
81	-	model1
51	-	model1
125	-	model1
99	-	model1
99	-	model1
5	-	model1
67	-	model1
-15	-	model1
47	-	model1
-6	+	model1
-36	+	model1
-1	+	model1
4	+	model1
-33	+	model1
2	+	model1
5	+	model1
-46	+	model1
-42	+	model1
-10	-	model1
93	+	model1
-13	+	model1
62	+	model1
43	+	model1
-26	+	model1
-26	+	model1
-36	+	model1
-76	+	model1
-76	+	model1
-62	+	model1
195	-	model1
46	-	model1
11	-	model1
2	-	model1
27	-	model1
27	-	model1
28	-	model1
28	-	model1
81	-	model1
81	-	model1
81	-	model1
81	-	model1
81	-	model1
81	-	model1
51	-	model1
125	-	model1
125	-	model1
99	-	model1
99	-	model1
4	-	model1
4	-	model1
5	-	model1
67	-	model1
-15	-	model1
47	-	model1
-6	+	model1
-36	+	model1
-107	+	model1
-110	+	model1
-57	+	model1
-1	+	model1
4	+	model1
-33	+	model1
2	+	model1
5	+	model1
-13	+	model1
62	+	model1
43	+	model1
-26	+	model1
-26	+	model1
-36	+	model1
99	-	model1
67	-	model1
-15	-	model1
-209	+	model1
-53	+	model1
-70	+	model1
-1	+	model1
4	+	model1
-33	+	model1
2	+	model1
-79	+	model1
-87	+	model1
