group	variable	value
lower	mean	0.1189465228
lower	mean	0.923651020166667
lower	mean	0.131903608491667
lower	mean	0.0419264652333333
lower	mean	0.139240735216667
lower	mean	0.890044231416667
lower	mean	0.0703875286083333
lower	mean	0.768876255833333
lower	mean	0.979422757983193
lower	mean	0.0685300530333333
lower	mean	0.167316534453782
lower	mean	0.0384964536
lower	mean	0.2027364495
lower	mean	0.219197111583333
lower	mean	0.0303900464958333
lower	mean	0.0988953511416666
lower	mean	0.398684421916667
lower	mean	0.0386693593916666
lower	mean	0.227076475333333
lower	mean	0.0444708475333333
lower	mean	0.079388475875
lower	mean	0.0580537786166666
lower	mean	0.9340349185
lower	mean	0.0808302401680672
lower	mean	0.83374254175
lower	mean	0.178238169166667
lower	mean	0.0833898554916666
lower	mean	0.0656132767966101
lower	mean	0.239833160166667
lower	mean	0.0660491218319327
lower	mean	0.197751882583333
lower	mean	0.4861431805
lower	mean	0.0335235763
lower	mean	0.888830677
lower	mean	0.1041355943
lower	mean	0.054197759575
lower	mean	0.22993067
lower	mean	0.130311754341667
lower	mean	0.0877251197833333
lower	mean	0.542096252833333
lower	mean	0.0605554133666666
lower	mean	0.861288598416667
lower	mean	0.164445194333333
lower	mean	0.234332589166667
lower	mean	0.113326222208333
lower	mean	0.834824254083333
lower	mean	0.21787680125
lower	mean	0.292528977833333
lower	mean	0.136246143366667
lower	mean	0.0734648394666666
lower	mean	0.448830506666667
lower	mean	0.280315107916667
lower	mean	0.242139697666667
lower	mean	0.0799555719831932
lower	mean	0.37998606125
lower	mean	0.338717714666667
lower	mean	0.179340072466667
lower	mean	0.27384448575
lower	mean	0.113756335683333
lower	mean	0.2256846305
lower	mean	0.0557857675546218
lower	mean	0.5905284625
lower	mean	0.88009024925
lower	mean	0.0827400699916666
lower	mean	0.119980418504202
lower	mean	0.151144908916667
lower	mean	0.0660415890762711
lower	mean	0.71842654225
lower	mean	0.105192289758333
lower	mean	0.352139259833333
lower	mean	0.390456939333333
lower	mean	0.150714949316667
lower	mean	0.0552568626470588
lower	mean	0.941285236083333
lower	mean	0.16625321075
lower	mean	0.635375033333333
lower	mean	0.22099575275
lower	mean	0.0602031197833333
lower	mean	0.0455144152416666
lower	mean	0.9143245235
lower	mean	0.0576884801583333
lower	mean	0.314868364166667
lower	mean	0.0517660205294117
lower	mean	0.0819957923166666
lower	mean	0.157364844416667
lower	mean	0.498930893583333
lower	mean	0.150622003091667
lower	mean	0.254134601383333
lower	mean	0.031126121125
lower	mean	0.0958193353499999
lower	mean	0.187530967083333
lower	mean	0.0754371406583333
lower	mean	0.42611181675
lower	mean	0.0611368361092437
lower	mean	0.065256024575
lower	mean	0.102937255325
lower	mean	0.547921876583333
lower	mean	0.0259135805249999
lower	mean	0.0445079345677966
lower	mean	0.247117835333333
lower	mean	0.0652124488333333
lower	mean	0.836301640333333
lower	mean	0.102473538166667
lower	mean	0.87762018
lower	mean	0.0481722223445378
lower	mean	0.0819451824661017
lower	mean	0.71177147325
lower	mean	0.179622090583333
lower	mean	0.0569891761166666
lower	mean	0.0761952882333333
lower	mean	0.0489500037416666
lower	mean	0.0472564172583333
lower	mean	0.0520929955166666
lower	mean	0.900741003416667
lower	mean	0.243109693333333
lower	mean	0.0235109056083333
lower	mean	0.0720228705583333
lower	mean	0.233831781166667
lower	mean	0.567710140166667
lower	mean	0.057494859875
lower	mean	0.279534391416667
lower	mean	0.233104044666667
lower	mean	0.194020724916667
lower	mean	0.0367979433833333
lower	mean	0.0598869132833333
lower	mean	0.0179671902541666
lower	mean	0.0354328584499999
lower	mean	0.0310868900840336
lower	mean	0.371112580833333
lower	mean	0.0874092193416666
lower	mean	0.885862101680672
lower	mean	0.084921459625
lower	mean	0.698020584833333
lower	mean	0.4982721595
lower	mean	0.045302719125
lower	mean	0.049121737075
lower	mean	0.130359126141667
lower	mean	0.0462877202416666
lower	mean	0.933280109747899
lower	mean	0.428957750166667
lower	mean	0.0554187647249999
lower	mean	0.797350923916667
lower	mean	0.213511054383333
lower	mean	0.282082316218487
lower	mean	0.0739451645
lower	mean	0.181071651833333
lower	mean	0.0660808616083333
lower	mean	0.0454161120333333
lower	mean	0.216944966916667
lower	mean	0.347516717833333
lower	mean	0.231454627815126
lower	mean	0.09433418405
lower	mean	0.118275146225
lower	mean	0.946868876083333
lower	mean	0.0694445311596638
lower	mean	0.131956617066667
lower	mean	0.117507976558333
lower	mean	0.0751179547457627
lower	mean	0.06642526775
lower	mean	0.14440939945
lower	mean	0.0551408375916666
lower	mean	0.152403540433333
lower	mean	0.172966661083333
lower	mean	0.114743838041667
lower	mean	0.162526543915966
lower	mean	0.0913213102999999
lower	mean	0.0430994393833333
lower	mean	0.1808807895
