Name	Adipose_Subcutaneous	Adipose_Visceral_Omentum	Adrenal_Gland
ENSG00000116649.10	75.2251	81.2186	62.9969
ENSG00000171824.14	59.9533	44.6114	31.051
ENSG00000226849.1	5.41573	3.32714	2.31252
ENSG00000230337.2	0.524161	0.483122	0.77851
ENSG00000198793.13	14.283	12.6045	13.0031
ENSG00000225602.5	0.0	0.0	0.0
ENSG00000253086.1	0.0	0.0	0.0
ENSG00000171819.5	4.38806	4.69014	1.9826
ENSG00000207451.1	0.0	0.0	0.0
ENSG00000238173.1	0.0	0.0	0.0
ENSG00000120942.14	9.94638	7.50905	8.06732
ENSG00000238199.1	0.120247	0.069066	0.070429
ENSG00000284646.1	0.0	0.0	0.0
ENSG00000224338.2	0.0	0.0	0.0
ENSG00000204624.8	0.0496005	0.063574	0.090616
ENSG00000285833.1	0.0	0.0	0.0
ENSG00000235643.2	0.0	0.0	0.0
ENSG00000284708.1	0.0147735	0.070897	0.10165
ENSG00000116661.11	0.657285	4.59411	18.117
ENSG00000132879.14	13.7751	15.3256	27.8366
ENSG00000116663.11	12.336	10.3642	16.0308
ENSG00000116670.15	20.8186	17.1307	11.9005
ENSG00000162490.7	0.0736835	0.047444	0.013832
ENSG00000177674.16	36.6302	30.9102	28.1153
ENSG00000215910.8	0.0240685	0.019597	0.008444
ENSG00000177553.6	0.0	0.0	0.0
ENSG00000177000.13	12.7746	12.6193	10.092
ENSG00000011021.23	23.2292	15.9732	17.6471
ENSG00000175206.11	3.15826	3.11594	1.76894
ENSG00000275915.1	1.01842	0.775861	0.969519
ENSG00000120937.9	0.292347	0.451206	0.152207
ENSG00000224904.1	0.027793	0.056004	0.0
ENSG00000285646.2	0.336259	0.298562	0.203574
ENSG00000201801.1	0.0	0.0	0.0
ENSG00000116685.16	42.85	36.9363	31.2192
ENSG00000083444.17	67.8006	72.4256	44.1287
ENSG00000287384.1	0.0525925	0.066275	0.060728
ENSG00000116688.18	44.098	38.9344	32.4442
ENSG00000270914.1	0.0	0.0	0.0
ENSG00000116691.11	25.016	24.3367	11.9807
ENSG00000202461.1	0.385821	0.50448	0.0
ENSG00000276869.1	0.0	0.0	0.0
ENSG00000243539.3	0.0	0.0	0.0
ENSG00000120949.15	6.60406	5.4408	0.149868
ENSG00000201135.1	0.0	0.0	0.0
ENSG00000227875.2	0.0	0.0	0.0
ENSG00000285604.1	0.0	0.0	0.0
ENSG00000283789.1	0.0	0.0	0.0
ENSG00000028137.19	112.854	94.3343	17.1764
ENSG00000263676.1	0.0	0.0	0.0
ENSG00000225196.2	0.0	0.0	0.0
ENSG00000252969.1	0.0	0.0	0.0
ENSG00000048707.15	16.1957	14.3929	8.08785
ENSG00000239149.1	3.22518	2.2611	0.762421
ENSG00000229484.2	1.25922	1.02439	0.156686
ENSG00000162496.9	145.732	162.069	17.916
ENSG00000221340.1	1.22794	1.25638	0.0
ENSG00000276830.1	0.0	0.0	0.0
ENSG00000288927.1	16.4719	16.2564	1.90042
ENSG00000272482.1	5.09722	6.75591	0.62426
ENSG00000204518.3	0.0	0.749713	0.043581
ENSG00000226166.2	0.0	0.0	0.0
ENSG00000188984.12	0.025138	0.014177	0.0
ENSG00000157330.10	0.0	0.0	0.0
ENSG00000116726.5	0.0	0.0	0.0
ENSG00000116721.9	0.0	0.0	0.0
ENSG00000228338.1	0.0	0.0	0.0
ENSG00000239810.3	0.0	0.0	0.0
ENSG00000231103.2	0.0	0.0	0.0
